route,origin,destination,cluster
GVA-Antalya,GVA,Antalya,2
GVA-Bari,GVA,Bari,2
GVA-Bastia,GVA,Bastia,2
GVA-Biarritz,GVA,Biarritz,2
GVA-Cagliari,GVA,Cagliari,2
GVA-Calvi,GVA,Calvi,2
GVA-Chania,GVA,Chania,2
GVA-Croatia,GVA,Croatia,2
GVA-Dubrovnik,GVA,Dubrovnik,2
GVA-Faro,GVA,Faro,2
GVA-Figari,GVA,Figari,2
GVA-Heraklion,GVA,Heraklion,2
GVA-Ibiza,GVA,Ibiza,2
GVA-Iceland,GVA,Iceland,2
GVA-Izmir Adnan Menderes,GVA,Izmir Adnan Menderes,2
GVA-Kayseri,GVA,Kayseri,2
GVA-Kerkyra,GVA,Kerkyra,2
GVA-Kos,GVA,Kos,2
GVA-Lamezia Terme,GVA,Lamezia Terme,2
GVA-Malta,GVA,Malta,2
GVA-Menorca,GVA,Menorca,2
GVA-Mikonos,GVA,Mikonos,2
GVA-Milas Bodrum International,GVA,Milas Bodrum International,2
GVA-Monastir,GVA,Monastir,2
GVA-Montenegro,GVA,Montenegro,2
GVA-Olbia,GVA,Olbia,2
GVA-Other airports: France,GVA,Other airports: France,2
GVA-Other airports: Greece,GVA,Other airports: Greece,2
GVA-Other airports: Japan,GVA,Other airports: Japan,2
GVA-Palma De Mallorca,GVA,Palma De Mallorca,2
GVA-Ponta Delgada,GVA,Ponta Delgada,2
GVA-Reykjavik Keflavik,GVA,Reykjavik Keflavik,2
GVA-Rhodos,GVA,Rhodos,2
GVA-Santorini/Thira,GVA,Santorini/Thira,2
GVA-Split,GVA,Split,2
GVA-Tivat,GVA,Tivat,2
GVA-Zakinthos,GVA,Zakinthos,2
ZRH-Antalya,ZRH,Antalya,2
ZRH-Biarritz,ZRH,Biarritz,2
ZRH-Brindisi,ZRH,Brindisi,2
ZRH-Cagliari,ZRH,Cagliari,2
ZRH-Calgary,ZRH,Calgary,2
ZRH-Calvi,ZRH,Calvi,2
ZRH-Chania,ZRH,Chania,2
ZRH-Cork,ZRH,Cork,2
ZRH-Cyprus,ZRH,Cyprus,2
ZRH-Djerba,ZRH,Djerba,2
ZRH-Dubrovnik,ZRH,Dubrovnik,2
ZRH-Edinburgh,ZRH,Edinburgh,2
ZRH-Enfidha Hammamet Ali Internation,ZRH,Enfidha Hammamet Ali Internation,2
ZRH-Figari,ZRH,Figari,2
ZRH-Greece,ZRH,Greece,2
ZRH-Heraklion,ZRH,Heraklion,2
ZRH-Ibiza,ZRH,Ibiza,2
ZRH-Iceland,ZRH,Iceland,2
ZRH-Kansai International,ZRH,Kansai International,2
ZRH-Kerkyra,ZRH,Kerkyra,2
ZRH-Kos,ZRH,Kos,2
ZRH-Larnaca,ZRH,Larnaca,2
ZRH-Menorca,ZRH,Menorca,2
ZRH-Mikonos,ZRH,Mikonos,2
ZRH-Milas Bodrum International,ZRH,Milas Bodrum International,2
ZRH-Olbia,ZRH,Olbia,2
ZRH-Other airports: Bulgaria,ZRH,Other airports: Bulgaria,2
ZRH-Other airports: Germany,ZRH,Other airports: Germany,2
ZRH-Other airports: Greece,ZRH,Other airports: Greece,2
ZRH-Palermo Punta Rasai,ZRH,Palermo Punta Rasai,2
ZRH-Palma De Mallorca,ZRH,Palma De Mallorca,2
ZRH-Ponta Delgada,ZRH,Ponta Delgada,2
ZRH-Pula,ZRH,Pula,2
ZRH-Reykjavik Keflavik,ZRH,Reykjavik Keflavik,2
ZRH-Rhodos,ZRH,Rhodos,2
ZRH-Santiago De Compostela,ZRH,Santiago De Compostela,2
ZRH-Santorini/Thira,ZRH,Santorini/Thira,2
ZRH-Split,ZRH,Split,2
ZRH-Tivat,ZRH,Tivat,2
ZRH-Vancouver International,ZRH,Vancouver International,2
ZRH-Zakinthos,ZRH,Zakinthos,2
GVA-Belfast International,GVA,Belfast International,3
GVA-Birmingham International,GVA,Birmingham International,3
GVA-Bournemouth,GVA,Bournemouth,3
GVA-Cork,GVA,Cork,3
GVA-East Midlands,GVA,East Midlands,3
GVA-Fuerteventura,GVA,Fuerteventura,3
GVA-Glasgow International,GVA,Glasgow International,3
GVA-Göteborg Landvetter,GVA,Göteborg Landvetter,3
GVA-Leeds Bradford,GVA,Leeds Bradford,3
GVA-Liverpool,GVA,Liverpool,3
GVA-London Luton,GVA,London Luton,3
GVA-London Stansted,GVA,London Stansted,3
GVA-Newcastle,GVA,Newcastle,3
GVA-Other airports: Jordan,GVA,Other airports: Jordan,3
GVA-Other airports: United Kingdom,GVA,Other airports: United Kingdom,3
GVA-Southampton,GVA,Southampton,3
GVA-Southend,GVA,Southend,3
GVA-Tromsö,GVA,Tromsö,3
ZRH-Cartagena,ZRH,Cartagena,3
ZRH-London Stansted,ZRH,London Stansted,3
ZRH-Phuket.International,ZRH,Phuket.International,3
GVA-Addis Ababa,GVA,Addis Ababa,4
GVA-Al Massira,GVA,Al Massira,4
GVA-Algeria,GVA,Algeria,4
GVA-Algiers,GVA,Algiers,4
GVA-Alicante,GVA,Alicante,4
GVA-America,GVA,America,4
GVA-Amman Queen Alia International,GVA,Amman Queen Alia International,4
GVA-Ankara Esenboga,GVA,Ankara Esenboga,4
GVA-Asia,GVA,Asia,4
GVA-Atlanta Hartsfield Intl,GVA,Atlanta Hartsfield Intl,4
GVA-Bali Intl/Ngurah Rai,GVA,Bali Intl/Ngurah Rai,4
GVA-Bangalore,GVA,Bangalore,4
GVA-Barcelona,GVA,Barcelona,4
GVA-Beijing Capital,GVA,Beijing Capital,4
GVA-Beirut,GVA,Beirut,4
GVA-Belgrade,GVA,Belgrade,4
GVA-Bergen,GVA,Bergen,4
GVA-Bilbao,GVA,Bilbao,4
GVA-Bologna,GVA,Bologna,4
GVA-Bombay,GVA,Bombay,4
GVA-Bordeaux,GVA,Bordeaux,4
GVA-Bosnia and Herzegovina,GVA,Bosnia and Herzegovina,4
GVA-Boston Logan International,GVA,Boston Logan International,4
GVA-Brindisi,GVA,Brindisi,4
GVA-Bucuresti Otopeni,GVA,Bucuresti Otopeni,4
GVA-Bulgaria,GVA,Bulgaria,4
GVA-Calgary,GVA,Calgary,4
GVA-Canada,GVA,Canada,4
GVA-Casablanca Mohamed V,GVA,Casablanca Mohamed V,4
GVA-Catania,GVA,Catania,4
GVA-Charlotte,GVA,Charlotte,4
GVA-Chicago O Hare International,GVA,Chicago O Hare International,4
GVA-China,GVA,China,4
GVA-Cluj,GVA,Cluj,4
GVA-Cyprus,GVA,Cyprus,4
GVA-Dallas Fort Worth Intl,GVA,Dallas Fort Worth Intl,4
GVA-Dar Es Salaam,GVA,Dar Es Salaam,4
GVA-Denver International,GVA,Denver International,4
GVA-Detroit Wayne County,GVA,Detroit Wayne County,4
GVA-Djerba,GVA,Djerba,4
GVA-Eleftherios Venizelos International,GVA,Eleftherios Venizelos International,4
GVA-Enfidha Hammamet Ali Internation,GVA,Enfidha Hammamet Ali Internation,4
GVA-Ethiopia,GVA,Ethiopia,4
GVA-Firenze Peretola,GVA,Firenze Peretola,4
GVA-France,GVA,France,4
GVA-Frankfurt International,GVA,Frankfurt International,4
GVA-Gaziantep,GVA,Gaziantep,4
GVA-Georgia,GVA,Georgia,4
GVA-Greece,GVA,Greece,4
GVA-Guangzhou.Baiyun,GVA,Guangzhou.Baiyun,4
GVA-Houston Intercontinental,GVA,Houston Intercontinental,4
GVA-Iasi,GVA,Iasi,4
GVA-Incheon International,GVA,Incheon International,4
GVA-Indonesia,GVA,Indonesia,4
GVA-Iran,GVA,Iran,4
GVA-Iraq,GVA,Iraq,4
GVA-Istanbul Airport,GVA,Istanbul Airport,4
GVA-Istanbul Sabiha Gokcen,GVA,Istanbul Sabiha Gokcen,4
GVA-Italy,GVA,Italy,4
GVA-Jakarta Soekarno-Hatta,GVA,Jakarta Soekarno-Hatta,4
GVA-Japan,GVA,Japan,4
GVA-Jeddah.King Abdulaziz,GVA,Jeddah.King Abdulaziz,4
GVA-Kansai International,GVA,Kansai International,4
GVA-Kishinev,GVA,Kishinev,4
GVA-Kosice,GVA,Kosice,4
GVA-Kosovo,GVA,Kosovo,4
GVA-Kuala Lumpur.International,GVA,Kuala Lumpur.International,4
GVA-Kuwait,GVA,Kuwait,4
GVA-La Coruna,GVA,La Coruna,4
GVA-Larnaca,GVA,Larnaca,4
GVA-Las Vegas Mccarran Intl.Airport,GVA,Las Vegas Mccarran Intl.Airport,4
GVA-Lebanon,GVA,Lebanon,4
GVA-Lille Lesquin,GVA,Lille Lesquin,4
GVA-Lisboa,GVA,Lisboa,4
GVA-Ljubljana,GVA,Ljubljana,4
GVA-Los Angeles International,GVA,Los Angeles International,4
GVA-Madeira,GVA,Madeira,4
GVA-Mahe Island,GVA,Mahe Island,4
GVA-Malaga,GVA,Malaga,4
GVA-Malaysia,GVA,Malaysia,4
GVA-Marseille,GVA,Marseille,4
GVA-Milano Malpensa,GVA,Milano Malpensa,4
GVA-Minneapolis International,GVA,Minneapolis International,4
GVA-Moldova,GVA,Moldova,4
GVA-Montreal Dorval International,GVA,Montreal Dorval International,4
GVA-München Franz Joseph Strauss,GVA,München Franz Joseph Strauss,4
GVA-Namibia,GVA,Namibia,4
GVA-Nantes,GVA,Nantes,4
GVA-Napoli Capodichino,GVA,Napoli Capodichino,4
GVA-New York J F Kennedy,GVA,New York J F Kennedy,4
GVA-New York Newark International,GVA,New York Newark International,4
GVA-Nice,GVA,Nice,4
GVA-Other airports: Africa,GVA,Other airports: Africa,4
GVA-Other airports: Asia,GVA,Other airports: Asia,4
GVA-Other airports: Bulgaria,GVA,Other airports: Bulgaria,4
GVA-Other airports: Canada,GVA,Other airports: Canada,4
GVA-Other airports: China,GVA,Other airports: China,4
GVA-Other airports: Germany,GVA,Other airports: Germany,4
GVA-Other airports: Iraq,GVA,Other airports: Iraq,4
GVA-Other airports: Morocco,GVA,Other airports: Morocco,4
GVA-Other airports: Oceania,GVA,Other airports: Oceania,4
GVA-Other airports: Saudi Arabia,GVA,Other airports: Saudi Arabia,4
GVA-Other airports: United States,GVA,Other airports: United States,4
GVA-Ottawa Mcdonald Cartier Intl,GVA,Ottawa Mcdonald Cartier Intl,4
GVA-Palermo Punta Rasai,GVA,Palermo Punta Rasai,4
GVA-Philadelphia International,GVA,Philadelphia International,4
GVA-Phoenix Sky Harbor International,GVA,Phoenix Sky Harbor International,4
GVA-Pisa,GVA,Pisa,4
GVA-Podgorica,GVA,Podgorica,4
GVA-Porto,GVA,Porto,4
GVA-Portugal,GVA,Portugal,4
GVA-Praha,GVA,Praha,4
